time,stock_open,stock_high,stock_low,stock_close,stock_volume,benchmark_close,USDVND,OIL,GOLD,SP500
2006-12-13,9.63,9.63,9.63,9.63,83530,741.0,15499.0,61.369998931884766,627.9000244140625,1413.2099609375
2006-12-14,10.11,10.11,10.11,10.11,280710,757.0,15459.0,62.5099983215332,626.5999755859375,1425.489990234375
2006-12-15,10.61,10.61,10.61,10.61,265300,776.0,15444.0,63.43000030517578,615.0,1427.0899658203125
2006-12-18,11.14,11.14,11.14,11.14,215790,780.0,15444.0,62.209999084472656,614.0,1422.47998046875
2006-12-19,11.7,11.7,11.7,11.7,137520,799.0,16062.0,63.150001525878906,621.5999755859375,1425.550048828125
2006-12-20,12.27,12.27,12.27,12.27,220120,810.0,15458.0,63.720001220703125,620.5999755859375,1423.530029296875
2006-12-21,12.06,12.06,11.67,11.67,156400,779.0,15415.0,62.65999984741211,618.2000122070312,1418.300048828125
2006-12-22,11.09,11.09,11.09,11.09,143500,744.0,15483.0,62.40999984741211,619.0999755859375,1410.760009765625
2006-12-25,10.54,10.54,10.54,10.54,22140,735.0,15483.0,62.40999984741211,619.0999755859375,1410.760009765625
2006-12-26,10.04,11.05,10.04,11.05,300150,748.0,16055.0,61.099998474121094,623.7000122070312,1416.9000244140625
2006-12-27,11.55,11.55,11.05,11.55,413230,755.0,15451.0,60.34000015258789,627.2000122070312,1426.8399658203125
2006-12-28,11.31,11.55,11.31,11.55,144840,754.0,15401.0,60.529998779296875,634.0999755859375,1424.72998046875
2006-12-29,11.19,11.19,11.07,11.07,69760,752.0,16035.0,61.04999923706055,635.2000122070312,1418.300048828125
2007-01-02,10.83,10.83,10.59,10.59,81170,741.0,15423.0,61.04999923706055,635.2000122070312,1418.300048828125
2007-01-03,10.59,10.83,10.59,10.83,74660,758.0,15476.0,58.31999969482422,627.0999755859375,1416.5999755859375
2007-01-04,11.36,11.36,11.36,11.36,148510,789.0,15419.0,55.59000015258789,623.9000244140625,1418.3399658203125
2007-01-05,11.91,11.91,11.91,11.91,377800,819.0,15507.0,56.310001373291016,604.9000244140625,1409.7099609375
2007-01-08,12.27,12.27,11.79,11.79,351470,825.0,15403.0,56.09000015258789,607.5,1412.8399658203125
2007-01-09,11.91,11.91,11.79,11.79,225270,845.0,15448.0,55.63999938964844,613.0999755859375,1412.1099853515625
2007-01-10,11.79,11.91,11.79,11.91,314250,866.0,15451.0,54.02000045776367,611.5999755859375,1414.8499755859375
2007-01-11,12.03,12.03,12.03,12.03,283920,885.0,15446.0,51.880001068115234,612.4000244140625,1423.8199462890625
2007-01-12,12.63,12.63,12.63,12.63,279710,915.0,15468.0,52.9900016784668,625.5,1430.72998046875
2007-01-15,12.88,13.26,12.88,13.26,274290,947.0,15387.0,52.9900016784668,625.5,1430.72998046875
2007-01-16,13.91,13.91,13.91,13.91,339760,984.0,15469.0,51.209999084472656,624.5999755859375,1431.9000244140625
2007-01-17,14.42,14.42,13.24,13.24,145870,965.0,15469.0,52.2400016784668,632.0999755859375,1430.6199951171875
2007-01-18,12.59,13.26,12.59,13.26,282430,983.0,15376.0,50.47999954223633,627.0999755859375,1426.3699951171875
2007-01-19,13.91,13.91,13.91,13.91,95290,1023.0,15406.0,51.9900016784668,635.5,1430.5
2007-01-22,14.58,14.58,14.44,14.44,461630,1028.0,15426.0,51.130001068115234,633.2999877929688,1422.949951171875
2007-01-23,14.44,14.49,14.44,14.49,243990,1041.0,15421.0,55.040000915527344,645.2000122070312,1427.989990234375
2007-01-24,14.49,14.49,13.96,13.96,156420,1016.0,15461.0,55.369998931884766,647.5999755859375,1440.1300048828125
2007-01-25,13.96,13.96,13.96,13.96,142420,989.0,15472.0,54.22999954223633,647.7999877929688,1423.9000244140625
2007-01-26,13.72,14.17,13.72,13.96,129240,975.0,15418.0,55.41999816894531,644.5,1422.1800537109375
2007-01-29,14.08,14.56,14.08,14.56,201310,996.0,15412.0,54.0099983215332,643.0999755859375,1420.6199951171875
2007-01-30,15.16,15.28,15.16,15.16,324420,1022.0,15381.0,56.970001220703125,644.2000122070312,1428.8199462890625
2007-01-31,15.35,15.52,15.35,15.52,310330,1041.0,15386.0,58.13999938964844,652.0,1438.239990234375
2007-02-01,15.57,15.57,14.92,14.92,114910,1049.0,15380.0,57.29999923706055,657.4000244140625,1445.93994140625
2007-02-02,15.16,15.16,15.16,15.16,79470,1075.0,15468.0,59.02000045776367,646.2000122070312,1448.3900146484375
2007-02-05,14.92,14.92,14.42,14.42,110440,1059.0,15360.0,58.7400016784668,650.9000244140625,1446.989990234375
2007-02-06,14.2,15.04,14.2,15.04,195540,1091.0,15356.0,58.880001068115234,653.5999755859375,1448.0
2007-02-07,14.58,15.28,14.58,15.28,116470,1096.0,15314.0,57.709999084472656,652.2999877929688,1450.02001953125
2007-02-08,14.54,14.54,14.54,14.54,103880,1053.0,15301.0,59.709999084472656,658.0,1448.31005859375
2007-02-09,13.81,13.81,13.81,13.81,194380,1031.0,15331.0,59.88999938964844,667.5,1438.06005859375
2007-02-12,14.49,14.49,14.49,14.49,60490,1054.0,15331.0,57.810001373291016,662.5999755859375,1433.3699951171875
2007-02-13,15.21,15.21,14.92,15.16,160600,1074.0,15313.0,59.060001373291016,663.9000244140625,1444.260009765625
2007-02-14,14.92,14.92,14.68,14.68,79810,1073.0,15297.0,58.0,667.4000244140625,1455.300048828125
2007-02-15,14.68,14.68,14.68,14.68,59720,1083.0,15329.0,57.9900016784668,667.2999877929688,1456.81005859375
2007-02-26,15.4,15.4,15.4,15.4,231310,1129.0,15305.0,61.38999938964844,686.5,1449.3699951171875
2007-02-27,16.17,16.17,16.0,16.0,289680,1167.0,15325.0,61.459999084472656,683.9000244140625,1399.0400390625
2007-02-28,16.0,16.0,15.21,15.21,69560,1138.0,15340.0,61.790000915527344,669.4000244140625,1406.8199462890625
2007-03-01,15.16,15.16,14.68,14.8,98850,1123.0,15415.0,62.0,662.2999877929688,1403.1700439453125
2007-03-02,15.09,15.52,15.09,15.52,163420,1148.0,15424.0,61.63999938964844,641.5,1387.1700439453125
