,Sharpe gộp ngoài mẫu,Sharpe trung bình cửa sổ,Độ lệch giữa cửa sổ,Tỷ lệ cửa sổ dương,Số cửa sổ
A3 · Nắm giữ điều tiết biến động {'target': 0.1},1.0482731173230462,1.0369577296686818,1.614736124330246,0.7333333333333333,15.0
A3 · Nắm giữ điều tiết biến động {'target': 0.15},0.9989653013153944,1.0028936113585976,1.6230976091664915,0.7333333333333333,15.0
A3 · Nắm giữ điều tiết biến động {'target': 0.2},0.9434417187972697,0.9653897650434488,1.5941980352450182,0.7333333333333333,15.0
A3 · Nắm giữ điều tiết biến động {'target': 0.25},0.8823114613640938,0.9332792497714305,1.5914769875044585,0.7333333333333333,15.0
"A5 · RSI đảo chiều {'vao': 25, 'ra': 65}",0.8639742402652814,0.3613719615011413,0.9920703468196826,0.2,15.0
B1a · Rừng ngẫu nhiên {'sau': 4},0.827222770456856,0.9043856128686322,1.679356863591578,0.8,15.0
"A5 · RSI đảo chiều {'vao': 30, 'ra': 70}",0.8230976733621376,0.6322767396149619,1.2809937127470112,0.4666666666666667,15.0
"A4 · Giao cắt trung bình động {'nhanh': 20, 'cham': 100}",0.7537557464100113,0.6412025945117377,1.620849513741212,0.6666666666666666,15.0
A8 · Lọc alpha CAPM {'window': 120},0.7355839324007483,0.6349902776033101,1.7299095634035035,0.6,15.0
"A4 · Giao cắt trung bình động {'nhanh': 20, 'cham': 50}",0.6981914353911738,0.5871544024657164,1.5938382142243703,0.6666666666666666,15.0
B1a · Rừng ngẫu nhiên {'sau': 3},0.6731728243875317,0.7901114198524187,1.532301679469667,0.7333333333333333,15.0
"A4 · Giao cắt trung bình động {'nhanh': 50, 'cham': 200}",0.6641770695881365,0.5508540960710119,1.8985451541132448,0.7333333333333333,15.0
B1a · Rừng ngẫu nhiên {'sau': 6},0.6569940567638127,0.6421194794822551,1.4978376548143852,0.7333333333333333,15.0
"A7 · Bứt phá kênh Donchian {'vao': 40, 'ra': 20}",0.6504084429561604,0.3930628498170354,1.6375289404604707,0.6,15.0
"A5 · RSI đảo chiều {'vao': 35, 'ra': 65}",0.6327832743215759,0.7944196235020906,1.1948612254239461,0.6666666666666666,15.0
"A7 · Bứt phá kênh Donchian {'vao': 20, 'ra': 20}",0.5972280194434371,0.3998626370403996,1.6601392375713233,0.6,15.0
"A6 · Momentum tuyệt đối 12–1 {'nhin_lai': 126, 'loc_ma': 200}",0.5781818026427132,0.33536652179891835,1.6822890748382164,0.5333333333333333,15.0
"A7b · Hồi quy dải Bollinger {'window': 40, 'n_std': 1.5}",0.5570899082962933,0.7431510567911074,0.9778781032478256,0.6666666666666666,15.0
"A6 · Momentum tuyệt đối 12–1 {'nhin_lai': 126, 'loc_ma': 100}",0.556473264136028,0.36555988830582703,1.70795536802178,0.4,15.0
