mô hình,hạt giống,Sharpe kiểm định,vòng tốt nhất,số vòng đã chạy,số tham số
B2 · MLP,0,1.0266648352749814,5,18,9173
B2 · MLP,1,0.39062614231432485,20,33,9173
B2 · MLP,2,0.6221760374705652,2,15,9173
B2 · MLP,3,0.4784220316704878,16,29,9173
B2 · MLP,4,0.3595462201886164,10,23,9173
B3 · CNN 1 chiều,0,1.105062266868138,9,22,46613
B3 · CNN 1 chiều,1,1.2175009041271354,4,17,46613
B3 · CNN 1 chiều,2,0.8011877981716516,0,13,46613
B3 · CNN 1 chiều,3,0.804664417077491,23,36,46613
B3 · CNN 1 chiều,4,0.8935347754435913,20,33,46613
B4a · RNN,0,0.21575790749407356,7,20,19605
B4a · RNN,1,0.4087602154570804,23,36,19605
B4a · RNN,2,0.5248620099853492,13,26,19605
B4a · RNN,3,0.7991166756120235,36,49,19605
B4a · RNN,4,0.322998691476923,15,28,19605
B4b · LSTM,0,0.7142291516747858,5,18,77589
B4b · LSTM,1,0.7559355364853508,1,14,77589
B4b · LSTM,2,0.6025562215288753,16,29,77589
B4b · LSTM,3,0.8957138568643797,5,18,77589
B4b · LSTM,4,0.5266866799869775,16,29,77589
B4c · GRU,0,1.1702217749881767,3,16,58261
B4c · GRU,1,1.083509443344091,9,22,58261
B4c · GRU,2,0.5327287896717541,1,14,58261
B4c · GRU,3,0.4369787472191108,4,17,58261
B4c · GRU,4,0.5930481169827415,1,14,58261
B5 · Transformer,0,0.7526859963223231,1,14,74197
B5 · Transformer,1,0.7574100285672672,4,17,74197
B5 · Transformer,2,1.1142906948391247,4,17,74197
B5 · Transformer,3,0.17955156457224147,1,14,74197
B5 · Transformer,4,0.528495492396193,0,13,74197
