mô hình,hạt giống,Sharpe kiểm định,vòng tốt nhất,số vòng đã chạy,số tham số
ATFN-A · TCN+GRU,0,0.38259418935539274,7,20,99158
ATFN-A · TCN+GRU,1,0.8004250419682882,2,15,99158
ATFN-A · TCN+GRU,2,0.5153789675097651,1,14,99158
ATFN-A · TCN+GRU,3,1.264977913677281,16,29,99158
ATFN-A · TCN+GRU,4,0.9222153719027683,0,13,99158
ATFN-AB · +đa tầm dự báo & cổng nhịp,0,0.6344096781401425,6,19,99613
ATFN-AB · +đa tầm dự báo & cổng nhịp,1,0.6673202284036647,15,28,99613
ATFN-AB · +đa tầm dự báo & cổng nhịp,2,0.7393471714896777,7,20,99613
ATFN-AB · +đa tầm dự báo & cổng nhịp,3,0.7775474320015672,8,21,99613
ATFN-AB · +đa tầm dự báo & cổng nhịp,4,0.7392136092533589,7,20,99613
ATFN-ABC · +cổng chế độ,0,1.120761010087417,48,60,106084
ATFN-ABC · +cổng chế độ,1,0.7450318568246107,14,27,106084
ATFN-ABC · +cổng chế độ,2,0.6344096781401425,11,24,106084
ATFN-ABC · +cổng chế độ,3,0.7354464468899602,11,24,106084
ATFN-ABC · +cổng chế độ,4,0.6396179492247965,28,41,106084
ATFN-ABC+L · +mất mát Sharpe có phí,0,0.0,1,14,106084
ATFN-ABC+L · +mất mát Sharpe có phí,1,0.5929098107577191,12,25,106084
ATFN-ABC+L · +mất mát Sharpe có phí,2,0.8602893246366706,5,18,106084
ATFN-ABC+L · +mất mát Sharpe có phí,3,0.7493916521631365,6,19,106084
ATFN-ABC+L · +mất mát Sharpe có phí,4,0.8716561930500909,15,28,106084
ATFN-ABCD · +vùng không giao dịch,0,0.7269914767744242,9,22,107141
ATFN-ABCD · +vùng không giao dịch,1,0.9944728465505053,14,27,107141
ATFN-ABCD · +vùng không giao dịch,2,1.168725911376827,10,23,107141
ATFN-ABCD · +vùng không giao dịch,3,1.035969468064096,11,24,107141
ATFN-ABCD · +vùng không giao dịch,4,1.080070833405099,2,15,107141
